interview_id,participant_group,transcript,metadata,transcript_length
workforce_001,workforce,"Interviewer: How do you use AI in your work?

Participant: concerns about job displacement AI helps with scheduling and calendar management need for AI training and upskilling AI-powered data analysis tools using AI for email automation

Interviewer: What are your main concerns?

Participant: AI helps with scheduling and calendar management","{""interview_date"": ""2024-08-02"", ""duration_minutes"": 43, ""consent"": true}",342
workforce_002,workforce,"Interviewer: How do you use AI in your work?

Participant: AI-powered data analysis tools using AI for email automation concerns about job displacement

Interviewer: What are your main concerns?

Participant: concerns about job displacement","{""interview_date"": ""2024-02-23"", ""duration_minutes"": 41, ""consent"": true}",240
workforce_003,workforce,"Interviewer: How do you use AI in your work?

Participant: need for AI training and upskilling using AI for email automation incorporating AI into daily workflow

Interviewer: What are your main concerns?

Participant: need for AI training and upskilling","{""interview_date"": ""2024-08-12"", ""duration_minutes"": 43, ""consent"": true}",254
workforce_004,workforce,"Interviewer: How do you use AI in your work?

Participant: using AI for email automation AI helps with scheduling and calendar management AI-powered data analysis tools

Interviewer: What are your main concerns?

Participant: AI-powered data analysis tools","{""interview_date"": ""2024-01-19"", ""duration_minutes"": 22, ""consent"": true}",256
workforce_005,workforce,"Interviewer: How do you use AI in your work?

Participant: concerns about job displacement AI-powered data analysis tools using chatbots for customer service AI helps with scheduling and calendar management

Interviewer: What are your main concerns?

Participant: AI helps with scheduling and calendar management","{""interview_date"": ""2024-01-12"", ""duration_minutes"": 19, ""consent"": true}",312
workforce_006,workforce,"Interviewer: How do you use AI in your work?

Participant: need for AI training and upskilling AI helps with scheduling and calendar management incorporating AI into daily workflow

Interviewer: What are your main concerns?

Participant: AI helps with scheduling and calendar management","{""interview_date"": ""2024-08-07"", ""duration_minutes"": 17, ""consent"": true}",286
workforce_007,workforce,"Interviewer: How do you use AI in your work?

Participant: using AI for email automation AI-powered data analysis tools need for AI training and upskilling

Interviewer: What are your main concerns?

Participant: AI-powered data analysis tools","{""interview_date"": ""2024-04-17"", ""duration_minutes"": 42, ""consent"": true}",243
workforce_008,workforce,"Interviewer: How do you use AI in your work?

Participant: AI-powered data analysis tools need for AI training and upskilling AI helps with scheduling and calendar management

Interviewer: What are your main concerns?

Participant: AI-powered data analysis tools","{""interview_date"": ""2024-02-17"", ""duration_minutes"": 38, ""consent"": true}",262
workforce_009,workforce,"Interviewer: How do you use AI in your work?

Participant: AI helps with scheduling and calendar management concerns about job displacement incorporating AI into daily workflow AI-powered data analysis tools

Interviewer: What are your main concerns?

Participant: concerns about job displacement","{""interview_date"": ""2024-06-19"", ""duration_minutes"": 26, ""consent"": true}",296
workforce_010,workforce,"Interviewer: How do you use AI in your work?

Participant: AI-powered data analysis tools using AI for email automation concerns about job displacement

Interviewer: What are your main concerns?

Participant: AI-powered data analysis tools","{""interview_date"": ""2024-07-14"", ""duration_minutes"": 24, ""consent"": true}",239
workforce_011,workforce,"Interviewer: How do you use AI in your work?

Participant: concerns about job displacement AI helps with scheduling and calendar management using AI for email automation incorporating AI into daily workflow need for AI training and upskilling

Interviewer: What are your main concerns?

Participant: concerns about job displacement","{""interview_date"": ""2024-09-10"", ""duration_minutes"": 15, ""consent"": true}",331
workforce_012,workforce,"Interviewer: How do you use AI in your work?

Participant: using chatbots for customer service need for AI training and upskilling AI helps with scheduling and calendar management

Interviewer: What are your main concerns?

Participant: using chatbots for customer service","{""interview_date"": ""2024-02-18"", ""duration_minutes"": 41, ""consent"": true}",272
workforce_013,workforce,"Interviewer: How do you use AI in your work?

Participant: concerns about job displacement incorporating AI into daily workflow AI helps with scheduling and calendar management need for AI training and upskilling

Interviewer: What are your main concerns?

Participant: incorporating AI into daily workflow","{""interview_date"": ""2024-04-01"", ""duration_minutes"": 42, ""consent"": true}",306
workforce_014,workforce,"Interviewer: How do you use AI in your work?

Participant: need for AI training and upskilling incorporating AI into daily workflow AI-powered data analysis tools

Interviewer: What are your main concerns?

Participant: incorporating AI into daily workflow","{""interview_date"": ""2024-06-03"", ""duration_minutes"": 43, ""consent"": true}",256
workforce_015,workforce,"Interviewer: How do you use AI in your work?

Participant: need for AI training and upskilling using AI for email automation AI-powered data analysis tools

Interviewer: What are your main concerns?

Participant: using AI for email automation","{""interview_date"": ""2024-08-23"", ""duration_minutes"": 27, ""consent"": true}",242
workforce_016,workforce,"Interviewer: How do you use AI in your work?

Participant: AI-powered data analysis tools using AI for email automation concerns about job displacement using chatbots for customer service AI helps with scheduling and calendar management

Interviewer: What are your main concerns?

Participant: using chatbots for customer service","{""interview_date"": ""2024-09-14"", ""duration_minutes"": 17, ""consent"": true}",329
workforce_017,workforce,"Interviewer: How do you use AI in your work?

Participant: AI-powered data analysis tools need for AI training and upskilling incorporating AI into daily workflow using AI for email automation

Interviewer: What are your main concerns?

Participant: using AI for email automation","{""interview_date"": ""2024-07-06"", ""duration_minutes"": 38, ""consent"": true}",279
workforce_018,workforce,"Interviewer: How do you use AI in your work?

Participant: AI helps with scheduling and calendar management need for AI training and upskilling using chatbots for customer service concerns about job displacement AI-powered data analysis tools

Interviewer: What are your main concerns?

Participant: AI-powered data analysis tools","{""interview_date"": ""2024-04-24"", ""duration_minutes"": 45, ""consent"": true}",330
workforce_019,workforce,"Interviewer: How do you use AI in your work?

Participant: using chatbots for customer service concerns about job displacement incorporating AI into daily workflow AI helps with scheduling and calendar management

Interviewer: What are your main concerns?

Participant: using chatbots for customer service","{""interview_date"": ""2024-08-11"", ""duration_minutes"": 17, ""consent"": true}",305
workforce_020,workforce,"Interviewer: How do you use AI in your work?

Participant: need for AI training and upskilling AI helps with scheduling and calendar management AI-powered data analysis tools

Interviewer: What are your main concerns?

Participant: AI helps with scheduling and calendar management","{""interview_date"": ""2024-02-19"", ""duration_minutes"": 30, ""consent"": true}",280
creatives_001,creatives,"Interviewer: How do you use AI in your work?

Participant: ethical considerations in AI-generated art AI as creative assistant for brainstorming concerns about AI replacing creative jobs balance between AI assistance and human creativity AI helps overcome creative blocks

Interviewer: What are your main concerns?

Participant: ethical considerations in AI-generated art","{""interview_date"": ""2024-01-07"", ""duration_minutes"": 20, ""consent"": true}",371
creatives_002,creatives,"Interviewer: How do you use AI in your work?

Participant: AI for content generation and writing concerns about AI replacing creative jobs balance between AI assistance and human creativity ethical considerations in AI-generated art

Interviewer: What are your main concerns?

Participant: ethical considerations in AI-generated art","{""interview_date"": ""2024-11-11"", ""duration_minutes"": 18, ""consent"": true}",332
creatives_003,creatives,"Interviewer: How do you use AI in your work?

Participant: ethical considerations in AI-generated art AI as creative assistant for brainstorming AI for content generation and writing using AI for image generation and editing AI helps overcome creative blocks

Interviewer: What are your main concerns?

Participant: AI helps overcome creative blocks","{""interview_date"": ""2024-02-09"", ""duration_minutes"": 37, ""consent"": true}",349
scientists_001,scientists,"Interviewer: How do you use AI in your work?

Participant: using AI for literature review and paper search concerns about AI bias in research AI accelerates research and data analysis AI models for experimental predictions collaboration between human scientists and AI

Interviewer: What are your main concerns?

Participant: collaboration between human scientists and AI","{""interview_date"": ""2024-09-18"", ""duration_minutes"": 15, ""consent"": true}",371
scientists_002,scientists,"Interviewer: How do you use AI in your work?

Participant: concerns about AI bias in research collaboration between human scientists and AI AI models for experimental predictions

Interviewer: What are your main concerns?

Participant: AI models for experimental predictions","{""interview_date"": ""2024-12-01"", ""duration_minutes"": 18, ""consent"": true}",274
